year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1998,1,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1999,1,0,0,0,8,2,0,0,1,2,1,0,1,5,1,0,0,0,0,0,0,2,3,1,0,0,0,0,1,1,1,3,0,1,0,0,0,5,1,1,0,1,0,2,0,0,0,3,0,4,0
2000,0,0,6,0,4,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,2,0
2001,0,0,3,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,9,0,0,0,0,5,1,0,0,0,0,1,0,0,1,4,0,0,0
2002,0,0,0,0,1,2,0,0,0,2,0,0,0,3,1,4,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0
2003,1,0,0,0,12,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
2004,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0
2005,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2006,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2007,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2008,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0
2009,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2010,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,5,0,0,0,0
2011,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2012,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
2013,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0
2014,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,1,0,0,0,1,1,0,0,0,0,4,0,0,0,2,1,0,0
2015,0,0,0,0,6,2,1,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,3,2,2,1,1,0,0,0,0,2,0,3,3,0,0,1,1,0,0,0
